lz4 1:1.9.3-2
lzo 2.10-3
m4 1.4.19-1
mailcap 2.1.53-1
make 4.3-3.1
mako 1.6-1
man-db 2.9.4-2
man-pages 5.13-1
manjaro-arm-keyring 20210807-1
manjaro-arm-wallpapers 20211103-1
manjaro-hotfixes 2018.08-6
manjaro-keyring 20210910-2
manjaro-release 21.10-1
manjaro-settings-manager 0.5.6-9
manjaro-settings-samba 20200213-1
manjaro-system 20211102-1
mariadb-libs 10.6.4-1
matcha-gtk-theme 20210924-1
matray 1.1.1-1
md4c 0.4.8-1
mdadm 4.1-2
mdcat 0.24.1-1
mediainfo 21.03-1
mesa 21.2.4-1
minizip 1:1.2.11-4
mjpegtools 2.2.1-1
mkinitcpio 30-2
mkinitcpio-busybox 1.33.1-1
mlocate 0.26.git.20170220-7
mobile-broadband-provider-info 20210805-1
mpfr 4.1.0.p13-1
mpg123 1.29.2-1
mpv 1:0.34.0-2
msgpack-c 4.0.0-1
mtdev 1.1.6-1
mtpfs 1.1-4
mujs 1.1.3-1
nano 5.9-1
nautilus 40.2+7+g67c7bdbf8-1
ncdu 1.16-1
ncurses 6.2-2
ndctl 71.1-1
neofetch 7.1.0-2
neon 0.32.1-1
neovim 0.5.1-1
nerd-fonts-profont 2.1.0-4
nerd-fonts-terminus 2.0.0-2
net-snmp 5.9.1-1
nettle 3.7.3-1
networkmanager 1.30.2-1
networkmanager-openvpn 1.8.16-1
nm-connection-editor 1.24.0-1
noto-fonts 20201226-2
noto-fonts-emoji 20211101-1
npth 1.6-3
nspr 4.32-1
nss 3.72-1
ntfs-3g 2021.8.22-1
ocl-icd 2.3.1-1
odt2txt 0.5-4
onefetch 2.10.2-2
oniguruma 6.9.7.1-1
openal 1.21.1-1
opencore-amr 0.1.5-5
openexr 3.1.3-1
openjpeg2 2.4.0-1
openmpi 4.1.1-3
openssh 8.8p1-1
openssl 1.1.1.l-1
openvpn 2.5.4-1
opus 1.3.1-2
orc 0.4.32-1
osinfo-db 20210903-1
p11-kit 0.24.0-2.1
p7zip 1:17.04-3
pacman 6.0.1-6
pacman-mirrors 4.21.5-1
pam 1.5.2-1
pamac-cli 10.2.2-6
pamac-gtk 10.2.2-6
pambase 20210605-2
pango 1:1.48.10-1
pangomm 2.46.1-2
papirus-icon-theme 20211001-1
papirus-maia-icon-theme 20200702-2
parted 3.4-2
patch 2.7.6-8
pavucontrol 1:5.0-1
pciutils 3.7.0-1
pcre 8.45-1
pcre2 10.37-1
perl 5.34.0-2
perl-error 0.17029-3
perl-mailtools 2.21-5
perl-parse-yapp 1.21-4
perl-timedate 2.33-3
pijul 1.0.0_alpha.55-1
pinentry 1.1.1-1
pipewire 1:0.3.39-1
pipewire-alsa 1:0.3.39-1
pipewire-media-session 1:0.4.0-1
pipewire-pulse 1:0.3.39-1
pipewire-zeroconf 1:0.3.39-1
pixman 0.40.0-1
pkcs11-helper 1.27.0-2
pkgconf 1.8.0-1
plymouth 0.9.5-7
plymouth-theme-manjaro 1-1
polkit 0.120-2
polkit-gnome 0.105-8
polkit-qt5 0.114.0-1
poppler 21.11.0-1
poppler-glib 21.11.0-1
popt 1.18-1
portaudio 1:19.7.0-1
postgresql-libs 13.4-1
procps-ng 3.3.17-1
psmisc 23.4-1
pulseaudio-alsa 1:1.2.5-2
pulsemixer 1.5.1-2
python 3.9.7-2.1
python-appdirs 1.4.4-3
python-argcomplete 1.12.1-1
python-atomicwrites 1.4.0-3
python-beaker 1.11.0-6
python-cairo 1.20.1-1
python-certifi 2021.10.8-1
python-chardet 4.0.0-2
python-charset-normalizer 2.0.4-1
python-click 8.0.3-1
python-click-log 0.3.2-7
python-click-threading 0.5.0-1
python-colorama 0.4.4-3
python-configobj 5.0.6.r110.g3e2f4cc-1
python-dateutil 2.8.2-1
python-defusedxml 0.7.1-2
python-dnspython 1:2.1.0-1
python-gobject 3.42.0-1
python-icalendar 4.0.9-1
python-idna 3.3-1
python-jinja 3.0.2-1
python-mako 1.1.5-1
python-markdown 3.3.4-1
python-markupsafe 2.0.1-1
python-more-itertools 8.10.0-1
python-npyscreen 4.10.5-6
python-ordered-set 4.0.2-3
python-packaging 20.9-2
python-pdftotext 2.2.0-1
python-pycups 2.0.1-3
python-pycurl 7.44.1-1
python-pygments 2.10.0-1
python-pyparsing 2.4.7-3
python-pyqt5 5.15.5-1
python-pyqt5-sip 12.9.0-1
python-pyqt5-webengine 5.15.5-1
python-pysocks 1.7.1-4
python-pytz 2021.3-2
python-pytz-deprecation-shim 0.1.0.post0-1
python-pyxdg 0.27-2
python-requests 2.26.0-1
python-requests-toolbelt 0.9.1-5
python-ruamel-yaml 0.17.17-1
python-ruamel.yaml.clib 0.2.6-1
python-setuptools 1:57.4.0-2
python-sip-pyqt4 4.19.25-1
python-six 1.16.0-1
python-termcolor 1.1.0-10
python-tzdata 2021.5-1
python-tzlocal 4.0.1-1
python-unidecode 1.3.2-1
python-urllib3 1.26.7-1
python-urwid 2.1.2-1
python-vobject 0.9.6.1-7
python-yaml 5.4.1.1-2
python2 2.7.18-5.1
python2-appdirs 1.4.4-3
python2-dbus 1.2.18-1
python2-ordered-set 3.1.1-3
python2-packaging 20.9-2
python2-pyparsing 2.4.7-3
python2-setuptools 2:44.1.1-1
python2-sip-pyqt4 4.19.25-1
python2-six 1.16.0-1
qpdf 10.3.2-1
qt5-3d 5.15.2+kde+r33-1
qt5-base 5.15.2+kde+r254-1
qt5-declarative 5.15.2+kde+r36-1
qt5-location 5.15.2-3
qt5-svg 5.15.2+kde+r13-1
qt5-wayland 5.15.2+kde+r36-1
qt5-webchannel 5.15.2-1
qt5-webengine 5.15.7-1
qt5-x11extras 5.15.2-1
qt5ct 1.5-1
qutebrowser 2.4.0-1
ranger 1.9.3-3
raptor 2.0.15-16
raspberrypi-bootloader 20211102-1
raspberrypi-bootloader-x 20211102-1
raspberrypi-userland-aarch64-git r821.6e8f786-1
rasqal 1:0.9.33-4
re2 1:20211101-1
readline 8.1.001-1
redland 1:1.0.17-8
remmina 1:1.4.21-1
rest 0.8.1-3
rhash 1.4.2-1
ripgrep 13.0.0-2
rpi-eeprom 20211027-1
rpi4-post-install 20211014-1
rsync 3.2.3-4
rtkit 0.13-1
rtmpdump 1:2.4.r96.fa8646d-6
rubberband 1.9.2-1
run-parts 5.5-1
rust 1:1.56.0-1
samba 4.15.1-1
sane 1.0.32-3
sbc 1.5-2
sdl 1.2.15+387+gfbfcca32-1
sdl2 2.0.16-4
sdl_image 1.2.12-7
sdl_mixer 1.2.12-10
sdl_net 1.2.8-5
sdl_pango 0.1.2-8
seahorse 1:40.0-1
seatd 0.6.3-1
sed 4.8-1
serd 0.30.10-1
shaderc 2021.2-1
shadow 4.8.1-4
shards 0.16.0-1
shared-mime-info 2.0+57+gc1d1c70-1
silicon 0.4.3-1
silver 2.0.0-1
simple-scan 40.1-1
sip4 4.19.25-1
slang 2.3.2-2
slurp 1.3.2-1
smbclient 4.15.1-1
smpeg 0.4.5-5
snappy 1.1.9-2
sndio 1.8.1-1
sord 0.16.8-1
sound-theme-freedesktop 0.8-4
soundtouch 2.3.0-1
spandsp 0.0.6-3
spdlog 1.9.2-1
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2021.3-1
sqlite 3.36.0-1
sratom 0.6.8-1
srt 1.4.4-1
sshfs 3.7.2-2
sudo 1.9.8.p2-1
sushi 3.38.1-1
sway 1:1.6.1-2
swaybg 1.1-1
swayidle 1.7-2
swaylock 1.5-1
sysfsutils 2.1.1-1
system-config-printer 1.5.15-1
systemd 249.5-3
systemd-libs 249.5-3
systemd-sysvcompat 249.5-3
t1lib 5.1.2-8
taglib 1.12-1
talloc 2.3.3-1
tar 1.34-1
tcl 8.6.11-1
tdb 1.4.5-1
tepl 6.00.0-2
termpub 2020.12.06.1-1
tevent 1:0.11.0-1
texinfo 6.8-2
thin-provisioning-tools 0.9.0-1
thunderbird 91.3.0-1
tinyxml2 9.0.0-1
tldr 2.0.0-1
tlp 1.4.0-1
tmux 3.2_a-1
totem-pl-parser 3.26.6-1
tracker3 3.2.0-2
tracker3-miners 3.2.0+6+gfffef2772-2
tree-sitter 0.20.0-1
tslib 1.22-1
ttf-bitstream-vera 1.10-14
ttf-droid 20121017-10
ttf-font-awesome 5.15.4-1
ttf-inconsolata 1:3.000-3
ttf-liberation 2.1.5-1
ttf-roboto 2.138-4
twolame 0.4.0-2
typespeed 0.6.5-8
typiskt 2020.07.10.0-1
tzdata 2021e-1
uchardet 0.0.7-1
udisks2 2.9.4-1
unibilium 2.1.1-1
unixodbc 2.3.9-1
unrar 1:6.0.7-1
unzip 6.0-14
upower 0.99.13-1
usb_modeswitch 2.6.1-1
usbmuxd 1.1.1-1
usbutils 014-1
util-linux 2.37.2-1
util-linux-libs 2.37.2-1
v4l-utils 1.22.1-1
vdirsyncer 0.18.0-1
vid.stab 1.1-3
volume_key 0.3.12-5
vte-common 0.66.0-1
vte3 0.66.0-1
vulkan-icd-loader 1.2.194-1
wavpack 5.4.0-1
waybar 0.9.8-2
wayland 1.19.0-2.1
wayland-protocols 1.23-1
wdisplays 1.1-1
webkit2gtk 2.34.1-2
webrtc-audio-processing 0.3.1-3
websocat 1.8.1-1
wf-recorder 0.2.1-1
wget 1.21.2-1
which 2.21-5
wildmidi 0.4.4-1
wireless-regdb 2021.08.28-1
wl-clipboard 1:2.0.0-2
wlogout 1.1.1-3
wlroots 0.14.1-2
woff2 1.0.2-3
wpa_supplicant 2:2.9-8
wpebackend-fdo 1.12.0-1
wqy-microhei 0.2.0_beta-11
wxgtk-common 3.0.5.1-2
wxgtk3 3.0.5.1-2
x264 3:0.163.r3060.5db6aa6-1
x265 3.5-1
xcb-proto 1.14.1-3
xcb-util 0.4.0-3
xcb-util-errors 1.0-4
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xclip 0.13-3
xcursor-breeze 5.18.0-1
xdg-dbus-proxy 0.1.2-3
xdg-desktop-portal 1.10.1-1
xdg-desktop-portal-wlr 0.4.0-3
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+19+g9816ebb-1
xf86-video-fbturbo-git 199.f9a6ed7-4.1
xfsprogs 5.13.0-1
xkeyboard-config 2.34-1
xmlsec 1.2.33-1
xorg-bdftopcf 1.1-2
xorg-font-util 1.3.2-2
xorg-font-utils 7.6-6
xorg-fonts-encodings 1.0.5-2
xorg-mkfontscale 1.2.1-2
xorg-server-common 1.20.13-3
xorg-setxkbmap 1.3.2-2
xorg-xkbcomp 1.4.5-1
xorg-xprop 1.2.5-1
xorg-xset 1.2.4-2
xorg-xwayland 21.1.2.901-1
xorgproto 2021.5-1
xplr 0.15.2-1
xvidcore 1.3.7-2
xxhash 0.8.0-1
xz 5.2.5-2
yad 10.1-1
yay 11.0.2-1
zbar 0.23.1-7
zeromq 4.3.4-2
zimg 3.0.3-1
zip 3.0-9
zita-alsa-pcmi 0.3.2-3
zita-resampler 1.8.0-1
zlib 1:1.2.11-4
zoxide 0.7.9-1
zstd 1.5.0-1
zswap-arm 1-1
zvbi 0.2.35-4
zxing-cpp 1.2.0-1
